"variable","dummyVariable","typeEnd","databaseStart","variableStart","ICES confirmation","typeStart","recEnd","numValidCat","catLabel","catLabelLong","units","recStart","catStartLabel","variableStartShortLabel","variableStartLabel","notes","...18","...19","uid","uid_detail","date_start","date_end"
"ADL_03","ADL_03_cat2_1","cat","cchs2001_p, cchs2003_p, cchs2005_p, cchs2007_2008_p, cchs2009_2010_p, cchs2010_p, cchs2011_2012_p, cchs2012_p, cchs2013_2014_p, cchs2014_p, cchs2009_s, cchs2010_s, cchs2012_s, cchs2001_i, cchs2003_i, cchs2005_i, cchs2007_2008_i, cchs2009_2010_i, cchs2011_2012_i, cchs2013_2014_i","cchs2001_p::RACA_6C, cchs2003_p::RACC_6C, cchs2005_p::RACE_6C, cchs2007_2008_p::RAC_6C, cchs2001_i::RACA_6C, cchs2003_i::RACC_6C, cchs2005_i::RACE_6C, cchs2007_2008_i::RAC_6C,[ADL_03]","ICES confirmed","cat","1",2,"Yes","Yes","","1","Yes","Help housework","Needs help - doing housework","",,"","v_003","d_00011","",""
"ADL_03","ADL_03_cat2_2","cat","cchs2001_p, cchs2003_p, cchs2005_p, cchs2007_2008_p, cchs2009_2010_p, cchs2010_p, cchs2011_2012_p, cchs2012_p, cchs2013_2014_p, cchs2014_p, cchs2009_s, cchs2010_s, cchs2012_s, cchs2001_i, cchs2003_i, cchs2005_i, cchs2007_2008_i, cchs2009_2010_i, cchs2011_2012_i, cchs2013_2014_i","cchs2001_p::RACA_6C, cchs2003_p::RACC_6C, cchs2005_p::RACE_6C, cchs2007_2008_p::RAC_6C, cchs2001_i::RACA_6C, cchs2003_i::RACC_6C, cchs2005_i::RACE_6C, cchs2007_2008_i::RAC_6C,[ADL_03]","ICES confirmed","cat","2",2,"No","No","","2","No","Help housework","Needs help - doing housework","",,"","v_003","d_00012","",""
"ADL_03","ADL_03_cat2_NA::a","cat","cchs2001_p, cchs2003_p, cchs2005_p, cchs2007_2008_p, cchs2009_2010_p, cchs2010_p, cchs2011_2012_p, cchs2012_p, cchs2013_2014_p, cchs2014_p, cchs2009_s, cchs2010_s, cchs2012_s, cchs2001_i, cchs2003_i, cchs2005_i, cchs2007_2008_i, cchs2009_2010_i, cchs2011_2012_i, cchs2013_2014_i","cchs2001_p::RACA_6C, cchs2003_p::RACC_6C, cchs2005_p::RACE_6C, cchs2007_2008_p::RAC_6C, cchs2001_i::RACA_6C, cchs2003_i::RACC_6C, cchs2005_i::RACE_6C, cchs2007_2008_i::RAC_6C,[ADL_03]","ICES confirmed","cat","NA::a",2,"not applicable","not applicable","","6","not applicable","Help housework","Needs help - doing housework","",,"","v_003","d_00013","",""
"ADL_03","ADL_03_cat2_NA::b","cat","cchs2001_p, cchs2003_p, cchs2005_p, cchs2007_2008_p, cchs2009_2010_p, cchs2010_p, cchs2011_2012_p, cchs2012_p, cchs2013_2014_p, cchs2014_p, cchs2009_s, cchs2010_s, cchs2012_s, cchs2001_i, cchs2003_i, cchs2005_i, cchs2007_2008_i, cchs2009_2010_i, cchs2011_2012_i, cchs2013_2014_i","cchs2001_p::RACA_6C, cchs2003_p::RACC_6C, cchs2005_p::RACE_6C, cchs2007_2008_p::RAC_6C, cchs2001_i::RACA_6C, cchs2003_i::RACC_6C, cchs2005_i::RACE_6C, cchs2007_2008_i::RAC_6C,[ADL_03]","ICES confirmed","cat","NA::b",2,"missing","missing","","[7,9]","don't know (7); refusal (8); not stated (9)","Help housework","Needs help - doing housework","",,"","v_003","d_00014","",""
"ADL_03","ADL_03_cat2_NA::b","cat","cchs2001_p, cchs2003_p, cchs2005_p, cchs2007_2008_p, cchs2009_2010_p, cchs2010_p, cchs2011_2012_p, cchs2012_p, cchs2013_2014_p, cchs2014_p, cchs2009_s, cchs2010_s, cchs2012_s, cchs2001_i, cchs2003_i, cchs2005_i, cchs2007_2008_i, cchs2009_2010_i, cchs2011_2012_i, cchs2013_2014_i","cchs2001_p::RACA_6C, cchs2003_p::RACC_6C, cchs2005_p::RACE_6C, cchs2007_2008_p::RAC_6C, cchs2001_i::RACA_6C, cchs2003_i::RACC_6C, cchs2005_i::RACE_6C, cchs2007_2008_i::RAC_6C,[ADL_03]","ICES confirmed","cat","NA::b",2,"missing","missing","","else","else","Help housework","Needs help - doing housework","",,"","v_003","d_00015","",""
"ADL_04","ADL_04_cat2_1","cat","cchs2001_p, cchs2003_p, cchs2005_p, cchs2007_2008_p, cchs2009_2010_p, cchs2010_p, cchs2011_2012_p, cchs2012_p, cchs2013_2014_p, cchs2014_p, cchs2009_s, cchs2010_s, cchs2012_s,  cchs2001_i, cchs2003_i, cchs2005_i, cchs2007_2008_i, cchs2009_2010_i, cchs2011_2012_i, cchs2013_2014_i","cchs2001_p::RACA_6E, cchs2003_p::RACC_6E, cchs2005_p::RACE_6E, cchs2007_2008_p::RAC_6E, cchs2001_i::RACA_6E, cchs2003_i::RACC_6E, cchs2005_i::RACE_6E, cchs2007_2008_i::RAC_6E,[ADL_04]","ICES confirmed","cat","1",2,"Yes","Yes","","1","Yes","Help personal care","Needs help - personal care","",,"","v_004","d_00016","",""
"ADL_04","ADL_04_cat2_2","cat","cchs2001_p, cchs2003_p, cchs2005_p, cchs2007_2008_p, cchs2009_2010_p, cchs2010_p, cchs2011_2012_p, cchs2012_p, cchs2013_2014_p, cchs2014_p, cchs2009_s, cchs2010_s, cchs2012_s,  cchs2001_i, cchs2003_i, cchs2005_i, cchs2007_2008_i, cchs2009_2010_i, cchs2011_2012_i, cchs2013_2014_i","cchs2001_p::RACA_6E, cchs2003_p::RACC_6E, cchs2005_p::RACE_6E, cchs2007_2008_p::RAC_6E, cchs2001_i::RACA_6E, cchs2003_i::RACC_6E, cchs2005_i::RACE_6E, cchs2007_2008_i::RAC_6E,[ADL_04]","ICES confirmed","cat","2",2,"No","No","","2","No","Help personal care","Needs help - personal care","",,"","v_004","d_00017","",""
"ADL_04","ADL_04_cat2_NA::a","cat","cchs2001_p, cchs2003_p, cchs2005_p, cchs2007_2008_p, cchs2009_2010_p, cchs2010_p, cchs2011_2012_p, cchs2012_p, cchs2013_2014_p, cchs2014_p, cchs2009_s, cchs2010_s, cchs2012_s,  cchs2001_i, cchs2003_i, cchs2005_i, cchs2007_2008_i, cchs2009_2010_i, cchs2011_2012_i, cchs2013_2014_i","cchs2001_p::RACA_6E, cchs2003_p::RACC_6E, cchs2005_p::RACE_6E, cchs2007_2008_p::RAC_6E, cchs2001_i::RACA_6E, cchs2003_i::RACC_6E, cchs2005_i::RACE_6E, cchs2007_2008_i::RAC_6E,[ADL_04]","ICES confirmed","cat","NA::a",2,"not applicable","not applicable","","6","not applicable","Help personal care","Needs help - personal care","",,"","v_004","d_00018","",""
"ADL_04","ADL_04_cat2_NA::b","cat","cchs2001_p, cchs2003_p, cchs2005_p, cchs2007_2008_p, cchs2009_2010_p, cchs2010_p, cchs2011_2012_p, cchs2012_p, cchs2013_2014_p, cchs2014_p, cchs2009_s, cchs2010_s, cchs2012_s,  cchs2001_i, cchs2003_i, cchs2005_i, cchs2007_2008_i, cchs2009_2010_i, cchs2011_2012_i, cchs2013_2014_i","cchs2001_p::RACA_6E, cchs2003_p::RACC_6E, cchs2005_p::RACE_6E, cchs2007_2008_p::RAC_6E, cchs2001_i::RACA_6E, cchs2003_i::RACC_6E, cchs2005_i::RACE_6E, cchs2007_2008_i::RAC_6E,[ADL_04]","ICES confirmed","cat","NA::b",2,"missing","missing","","[7,9]","don't know (7); refusal (8); not stated (9)","Help personal care","Needs help - personal care","",,"","v_004","d_00019","",""
"ADL_04","ADL_04_cat2_NA::b","cat","cchs2001_p, cchs2003_p, cchs2005_p, cchs2007_2008_p, cchs2009_2010_p, cchs2010_p, cchs2011_2012_p, cchs2012_p, cchs2013_2014_p, cchs2014_p, cchs2009_s, cchs2010_s, cchs2012_s,  cchs2001_i, cchs2003_i, cchs2005_i, cchs2007_2008_i, cchs2009_2010_i, cchs2011_2012_i, cchs2013_2014_i","cchs2001_p::RACA_6E, cchs2003_p::RACC_6E, cchs2005_p::RACE_6E, cchs2007_2008_p::RAC_6E, cchs2001_i::RACA_6E, cchs2003_i::RACC_6E, cchs2005_i::RACE_6E, cchs2007_2008_i::RAC_6E,[ADL_04]","ICES confirmed","cat","NA::b",2,"missing","missing","","else","else","Help personal care","Needs help - personal care","",,"","v_004","d_00020","",""
"ADL_05","ADL_05_cat2_1","cat","cchs2001_p, cchs2003_p, cchs2005_p, cchs2007_2008_p, cchs2009_2010_p, cchs2010_p, cchs2011_2012_p, cchs2012_p, cchs2013_2014_p, cchs2014_p, cchs2009_s, cchs2010_s, cchs2012_s, cchs2001_i, cchs2003_i, cchs2005_i, cchs2007_2008_i, cchs2009_2010_i, cchs2011_2012_i, cchs2013_2014_i","cchs2001_p::RACA_6F, cchs2003_p::RACC_6F, cchs2005_p::RACE_6F, cchs2007_2008_p::RAC_6F, cchs2001_i::RACA_6F, cchs2003_i::RACC_6F, cchs2005_i::RACE_6F, cchs2007_2008_i::RAC_6F,[ADL_05]","ICES confirmed","cat","1",2,"Yes","Yes","","1","Yes","Help move inside house","Needs help - moving about inside house","",,"","v_005","d_00021","",""
"ADL_05","ADL_05_cat2_2","cat","cchs2001_p, cchs2003_p, cchs2005_p, cchs2007_2008_p, cchs2009_2010_p, cchs2010_p, cchs2011_2012_p, cchs2012_p, cchs2013_2014_p, cchs2014_p, cchs2009_s, cchs2010_s, cchs2012_s, cchs2001_i, cchs2003_i, cchs2005_i, cchs2007_2008_i, cchs2009_2010_i, cchs2011_2012_i, cchs2013_2014_i","cchs2001_p::RACA_6F, cchs2003_p::RACC_6F, cchs2005_p::RACE_6F, cchs2007_2008_p::RAC_6F, cchs2001_i::RACA_6F, cchs2003_i::RACC_6F, cchs2005_i::RACE_6F, cchs2007_2008_i::RAC_6F,[ADL_05]","ICES confirmed","cat","2",2,"No","No","","2","No","Help move inside house","Needs help - moving about inside house","",,"","v_005","d_00022","",""
"ADL_05","ADL_05_cat2_NA::a","cat","cchs2001_p, cchs2003_p, cchs2005_p, cchs2007_2008_p, cchs2009_2010_p, cchs2010_p, cchs2011_2012_p, cchs2012_p, cchs2013_2014_p, cchs2014_p, cchs2009_s, cchs2010_s, cchs2012_s, cchs2001_i, cchs2003_i, cchs2005_i, cchs2007_2008_i, cchs2009_2010_i, cchs2011_2012_i, cchs2013_2014_i","cchs2001_p::RACA_6F, cchs2003_p::RACC_6F, cchs2005_p::RACE_6F, cchs2007_2008_p::RAC_6F, cchs2001_i::RACA_6F, cchs2003_i::RACC_6F, cchs2005_i::RACE_6F, cchs2007_2008_i::RAC_6F,[ADL_05]","ICES confirmed","cat","NA::a",2,"not applicable","not applicable","","6","not applicable","Help move inside house","Needs help - moving about inside house","",,"","v_005","d_00023","",""
"ADL_05","ADL_05_cat2_NA::b","cat","cchs2001_p, cchs2003_p, cchs2005_p, cchs2007_2008_p, cchs2009_2010_p, cchs2010_p, cchs2011_2012_p, cchs2012_p, cchs2013_2014_p, cchs2014_p, cchs2009_s, cchs2010_s, cchs2012_s, cchs2001_i, cchs2003_i, cchs2005_i, cchs2007_2008_i, cchs2009_2010_i, cchs2011_2012_i, cchs2013_2014_i","cchs2001_p::RACA_6F, cchs2003_p::RACC_6F, cchs2005_p::RACE_6F, cchs2007_2008_p::RAC_6F, cchs2001_i::RACA_6F, cchs2003_i::RACC_6F, cchs2005_i::RACE_6F, cchs2007_2008_i::RAC_6F,[ADL_05]","ICES confirmed","cat","NA::b",2,"missing","missing","","[7,9]","don't know (7); refusal (8); not stated (9)","Help move inside house","Needs help - moving about inside house","",,"","v_005","d_00024","",""
"ADL_05","ADL_05_cat2_NA::b","cat","cchs2001_p, cchs2003_p, cchs2005_p, cchs2007_2008_p, cchs2009_2010_p, cchs2010_p, cchs2011_2012_p, cchs2012_p, cchs2013_2014_p, cchs2014_p, cchs2009_s, cchs2010_s, cchs2012_s, cchs2001_i, cchs2003_i, cchs2005_i, cchs2007_2008_i, cchs2009_2010_i, cchs2011_2012_i, cchs2013_2014_i","cchs2001_p::RACA_6F, cchs2003_p::RACC_6F, cchs2005_p::RACE_6F, cchs2007_2008_p::RAC_6F, cchs2001_i::RACA_6F, cchs2003_i::RACC_6F, cchs2005_i::RACE_6F, cchs2007_2008_i::RAC_6F,[ADL_05]","ICES confirmed","cat","NA::b",2,"missing","missing","","else","else","Help move inside house","Needs help - moving about inside house","",,"","v_005","d_00025","",""
"ADL_06","ADL_06_cat2_1","cat","cchs2003_p, cchs2005_p, cchs2007_2008_p, cchs2009_2010_p, cchs2010_p, cchs2011_2012_p, cchs2012_p, cchs2013_2014_p, cchs2014_p, cchs2009_s, cchs2010_s, cchs2012_s, cchs2003_i, cchs2005_i, cchs2007_2008_i, cchs2009_2010_i, cchs2011_2012_i, cchs2013_2014_i","cchs2003_p::RACC_6G, cchs2005_p::RACE_6G, cchs2007_2008_p::RAC_6G, cchs2003_i::RACC_6G, cchs2005_i::RACE_6G, cchs2007_2008_i::RAC_6G, [ADL_06]","ICES confirmed","cat","1",2,"Yes","Yes","","1","Yes","Help personal finances","Needs help - looking after finances","Only available for 2003 onwards",,"","v_006","d_00026","",""
"ADL_06","ADL_06_cat2_2","cat","cchs2003_p, cchs2005_p, cchs2007_2008_p, cchs2009_2010_p, cchs2010_p, cchs2011_2012_p, cchs2012_p, cchs2013_2014_p, cchs2014_p, cchs2009_s, cchs2010_s, cchs2012_s, cchs2003_i, cchs2005_i, cchs2007_2008_i, cchs2009_2010_i, cchs2011_2012_i, cchs2013_2014_i","cchs2003_p::RACC_6G, cchs2005_p::RACE_6G, cchs2007_2008_p::RAC_6G, cchs2003_i::RACC_6G, cchs2005_i::RACE_6G, cchs2007_2008_i::RAC_6G, [ADL_06]","ICES confirmed","cat","2",2,"No","No","","2","No","Help personal finances","Needs help - looking after finances","Only available for 2003 onwards",,"","v_006","d_00027","",""
"ADL_06","ADL_06_cat2_NA::a","cat","cchs2003_p, cchs2005_p, cchs2007_2008_p, cchs2009_2010_p, cchs2010_p, cchs2011_2012_p, cchs2012_p, cchs2013_2014_p, cchs2014_p, cchs2009_s, cchs2010_s, cchs2012_s, cchs2003_i, cchs2005_i, cchs2007_2008_i, cchs2009_2010_i, cchs2011_2012_i, cchs2013_2014_i","cchs2003_p::RACC_6G, cchs2005_p::RACE_6G, cchs2007_2008_p::RAC_6G, cchs2003_i::RACC_6G, cchs2005_i::RACE_6G, cchs2007_2008_i::RAC_6G, [ADL_06]","ICES confirmed","cat","NA::a",2,"not applicable","not applicable","","6","not applicable","Help personal finances","Needs help - looking after finances","Only available for 2003 onwards",,"","v_006","d_00028","",""
"ADL_06","ADL_06_cat2_NA::b","cat","cchs2003_p, cchs2005_p, cchs2007_2008_p, cchs2009_2010_p, cchs2010_p, cchs2011_2012_p, cchs2012_p, cchs2013_2014_p, cchs2014_p, cchs2009_s, cchs2010_s, cchs2012_s, cchs2003_i, cchs2005_i, cchs2007_2008_i, cchs2009_2010_i, cchs2011_2012_i, cchs2013_2014_i","cchs2003_p::RACC_6G, cchs2005_p::RACE_6G, cchs2007_2008_p::RAC_6G, cchs2003_i::RACC_6G, cchs2005_i::RACE_6G, cchs2007_2008_i::RAC_6G, [ADL_06]","ICES confirmed","cat","NA::b",2,"missing","missing","","[7,9]","don't know (7); refusal (8); not stated (9)","Help personal finances","Needs help - looking after finances","Only available for 2003 onwards",,"","v_006","d_00029","",""
"ADL_06","ADL_06_cat2_NA::b","cat","cchs2003_p, cchs2005_p, cchs2007_2008_p, cchs2009_2010_p, cchs2010_p, cchs2011_2012_p, cchs2012_p, cchs2013_2014_p, cchs2014_p, cchs2009_s, cchs2010_s, cchs2012_s, cchs2003_i, cchs2005_i, cchs2007_2008_i, cchs2009_2010_i, cchs2011_2012_i, cchs2013_2014_i","cchs2003_p::RACC_6G, cchs2005_p::RACE_6G, cchs2007_2008_p::RAC_6G, cchs2003_i::RACC_6G, cchs2005_i::RACE_6G, cchs2007_2008_i::RAC_6G, [ADL_06]","ICES confirmed","cat","NA::b",2,"missing","missing","","else","else","Help personal finances","Needs help - looking after finances","Only available for 2003 onwards",,"","v_006","d_00030","",""
"ADL_07","ADL_07_cat2_1","cat","cchs2001_p, cchs2003_p, cchs2005_p, cchs2001_i, cchs2003_i, cchs2005_i","cchs2001_p::RACA_6D, cchs2003_p::RACC_6D, cchs2005_p::RACE_6D, cchs2001_i::RACA_6D, cchs2003_i::RACC_6D, cchs2005_i::RACE_6D","ICES confirmed","cat","1",2,"Yes","Yes","","1","Yes","Help heavy household chores","Needs help - heavy household chores","",,"","v_007","d_00031","",""
"ADL_07","ADL_07_cat2_2","cat","cchs2001_p, cchs2003_p, cchs2005_p, cchs2001_i, cchs2003_i, cchs2005_i","cchs2001_p::RACA_6D, cchs2003_p::RACC_6D, cchs2005_p::RACE_6D, cchs2001_i::RACA_6D, cchs2003_i::RACC_6D, cchs2005_i::RACE_6D","ICES confirmed","cat","2",2,"No","No","","2","No","Help heavy household chores","Needs help - heavy household chores","",,"","v_007","d_00032","",""
"ADL_07","ADL_07_cat2_NA::a","cat","cchs2001_p, cchs2003_p, cchs2005_p, cchs2001_i, cchs2003_i, cchs2005_i","cchs2001_p::RACA_6D, cchs2003_p::RACC_6D, cchs2005_p::RACE_6D, cchs2001_i::RACA_6D, cchs2003_i::RACC_6D, cchs2005_i::RACE_6D","ICES confirmed","cat","NA::a",2,"not applicable","not applicable","","6","not applicable","Help heavy household chores","Needs help - heavy household chores","",,"","v_007","d_00033","",""
"ADL_07","ADL_07_cat2_NA::b","cat","cchs2001_p, cchs2003_p, cchs2005_p, cchs2001_i, cchs2003_i, cchs2005_i","cchs2001_p::RACA_6D, cchs2003_p::RACC_6D, cchs2005_p::RACE_6D, cchs2001_i::RACA_6D, cchs2003_i::RACC_6D, cchs2005_i::RACE_6D","ICES confirmed","cat","NA::b",2,"missing","missing","","[7,9]","don't know (7); refusal (8); not stated (9)","Help heavy household chores","Needs help - heavy household chores","",,"","v_007","d_00034","",""
"ADL_07","ADL_07_cat2_NA::b","cat","cchs2001_p, cchs2003_p, cchs2005_p, cchs2001_i, cchs2003_i, cchs2005_i","cchs2001_p::RACA_6D, cchs2003_p::RACC_6D, cchs2005_p::RACE_6D, cchs2001_i::RACA_6D, cchs2003_i::RACC_6D, cchs2005_i::RACE_6D","ICES confirmed","cat","NA::b",2,"missing","missing","","else","else","Help heavy household chores","Needs help - heavy household chores","",,"","v_007","d_00035","",""
