variable,dummyVariable,typeEnd,databaseStart,variableStart,typeStart,recEnd,numValidCat,catLabel,catLabelLong,units,recStart,catStartLabel,variableStartShortLabel,variableStartLabel,notes
ADL_02,ADL_02_cat2_1,cat,"cchs2001_p, cchs2003_p, cchs2005_p, cchs2007_2008_p, cchs2009_2010_p, cchs2010_p, cchs2011_2012_p, cchs2012_p, cchs2013_2014_p, cchs2014_p","cchs2001_p::RACA_6B, cchs2003_p::RACC_6B1, cchs2005_p::RACE_6B1, cchs2007_2008_p::RAC_6B1, [ADL_02]",cat,1,2,Yes,Yes,N/A,1,Yes,Needs help - getting to appointments,"Because of any physical condition or mental condition or health problem, do you need the help of another person with getting to appointments and running errands such as shopping for groceries?","In the 2001 CCHS, respondents were asked, ""Because of any condition or health problem, do you need the help of another person in shopping for groceries or other necessities?"""
ADL_02,ADL_02_cat2_2,cat,"cchs2001_p, cchs2003_p, cchs2005_p, cchs2007_2008_p, cchs2009_2010_p, cchs2010_p, cchs2011_2012_p, cchs2012_p, cchs2013_2014_p, cchs2014_p","cchs2001_p::RACA_6B, cchs2003_p::RACC_6B1, cchs2005_p::RACE_6B1, cchs2007_2008_p::RAC_6B1, [ADL_02]",cat,2,2,No,No,N/A,2,No,Needs help - getting to appointments,"Because of any physical condition or mental condition or health problem, do you need the help of another person with getting to appointments and running errands such as shopping for groceries?",
ADL_02,ADL_02_cat2_NA::a,cat,"cchs2001_p, cchs2003_p, cchs2005_p, cchs2007_2008_p, cchs2009_2010_p, cchs2010_p, cchs2011_2012_p, cchs2012_p, cchs2013_2014_p, cchs2014_p","cchs2001_p::RACA_6B, cchs2003_p::RACC_6B1, cchs2005_p::RACE_6B1, cchs2007_2008_p::RAC_6B1, [ADL_02]",cat,NA::a,2,not applicable,not applicable,N/A,6,not applicable,Needs help - getting to appointments,"Because of any physical condition or mental condition or health problem, do you need the help of another person with getting to appointments and running errands such as shopping for groceries?",
ADL_02,ADL_02_cat2_NA::b,cat,"cchs2001_p, cchs2003_p, cchs2005_p, cchs2007_2008_p, cchs2009_2010_p, cchs2010_p, cchs2011_2012_p, cchs2012_p, cchs2013_2014_p, cchs2014_p","cchs2001_p::RACA_6B, cchs2003_p::RACC_6B1, cchs2005_p::RACE_6B1, cchs2007_2008_p::RAC_6B1, [ADL_02]",cat,NA::b,2,missing,missing,N/A,"[7,9]",don't know (7); refusal (8); not stated (9),Needs help - getting to appointments,"Because of any physical condition or mental condition or health problem, do you need the help of another person with getting to appointments and running errands such as shopping for groceries?",
ADL_02,ADL_02_cat2_NA::b,cat,"cchs2001_p, cchs2003_p, cchs2005_p, cchs2007_2008_p, cchs2009_2010_p, cchs2010_p, cchs2011_2012_p, cchs2012_p, cchs2013_2014_p, cchs2014_p","cchs2001_p::RACA_6B, cchs2003_p::RACC_6B1, cchs2005_p::RACE_6B1, cchs2007_2008_p::RAC_6B1, [ADL_02]",cat,NA::b,2,missing,missing,N/A,else,else,Needs help - getting to appointments,"Because of any physical condition or mental condition or health problem, do you need the help of another person with getting to appointments and running errands such as shopping for groceries?",
ADL_02,ADL_02_cat2_1,cat,"cchs2015_2016_p, cchs2017_2018_p","cchs2015_2016_p::ADL_010, cchs2017_2018_p::ADL_010",cat,1,2,Yes,Yes,N/A,"[3,4]",Yes,Needs help - preparing meals,"Because of any physical condition, mental condition or health problem, do you have any difficulty with preparing meals?","For 2015 onwards, question is changed from ""Because of condition, do you need the help of another person in X"" to ""Because of condition, do you have any difficulty with X?""; however, the answer categories indicate if they had the help of another person. 'Yes, difficulty, but can do it with the help of others' and 'Cannot do it all' are combined for 'Yes'. 'No, no difficulty' and 'Yes, difficulty, but do not require help of others' are combined for 'No'. In the universe, respondents must said yes to ""Activities of daily living"" before answering this question, therefore the sample size is small."
ADL_02,ADL_02_cat2_2,cat,"cchs2015_2016_p, cchs2017_2018_p","cchs2015_2016_p::ADL_010, cchs2017_2018_p::ADL_010",cat,2,2,No,No,N/A,"[1,2]",No,Needs help - preparing meals,"Because of any physical condition, mental condition or health problem, do you have any difficulty with preparing meals?","For 2015 onwards, question is changed from ""Because of condition, do you need the help of another person in X"" to ""Because of condition, do you have any difficulty with X?""; however, the answer categories indicate if they had the help of another person. 'Yes, difficulty, but can do it with the help of others' and 'Cannot do it all' are combined for 'Yes'. 'No, no difficulty' and 'Yes, difficulty, but do not require help of others' are combined for 'No'. In the universe, respondents must said yes to ""Activities of daily living"" before answering this question, therefore the sample size is small."
ADL_02,ADL_02_cat2_NA::a,cat,"cchs2015_2016_p, cchs2017_2018_p","cchs2015_2016_p::ADL_010, cchs2017_2018_p::ADL_010",cat,NA::a,2,not applicable,not applicable,N/A,6,not applicable,Needs help - preparing meals,"Because of any physical condition, mental condition or health problem, do you have any difficulty with preparing meals?",
ADL_02,ADL_02_cat2_NA::b,cat,"cchs2015_2016_p, cchs2017_2018_p","cchs2015_2016_p::ADL_010, cchs2017_2018_p::ADL_010",cat,NA::b,2,missing,missing,N/A,"[7,9]",don't know (7); refusal (8); not stated (9),Needs help - preparing meals,"Because of any physical condition, mental condition or health problem, do you have any difficulty with preparing meals?",
ADL_02,ADL_02_cat2_NA::b,cat,"cchs2015_2016_p, cchs2017_2018_p","cchs2015_2016_p::ADL_010, cchs2017_2018_p::ADL_010",cat,NA::b,2,missing,missing,N/A,else,else,Needs help - preparing meals,"Because of any physical condition, mental condition or health problem, do you have any difficulty with preparing meals?",
ADL_03,ADL_03_cat2_1,cat,"cchs2001_p, cchs2003_p, cchs2005_p, cchs2007_2008_p, cchs2009_2010_p, cchs2010_p, cchs2011_2012_p, cchs2012_p, cchs2013_2014_p, cchs2014_p","cchs2001_p::RACA_6C, cchs2003_p::RACC_6C, cchs2005_p::RACE_6C, cchs2007_2008_p::RAC_6C, [ADL_03]",cat,1,2,Yes,Yes,N/A,1,Yes,Needs help - doing housework,"Because of any condition or health problem, do you need the help of another person in doing normal everyday housework?",
ADL_03,ADL_03_cat2_2,cat,"cchs2001_p, cchs2003_p, cchs2005_p, cchs2007_2008_p, cchs2009_2010_p, cchs2010_p, cchs2011_2012_p, cchs2012_p, cchs2013_2014_p, cchs2014_p","cchs2001_p::RACA_6C, cchs2003_p::RACC_6C, cchs2005_p::RACE_6C, cchs2007_2008_p::RAC_6C, [ADL_03]",cat,2,2,No,No,N/A,2,No,Needs help - doing housework,"Because of any condition or health problem, do you need the help of another person in doing normal everyday housework?",
ADL_03,ADL_03_cat2_NA::a,cat,"cchs2001_p, cchs2003_p, cchs2005_p, cchs2007_2008_p, cchs2009_2010_p, cchs2010_p, cchs2011_2012_p, cchs2012_p, cchs2013_2014_p, cchs2014_p","cchs2001_p::RACA_6C, cchs2003_p::RACC_6C, cchs2005_p::RACE_6C, cchs2007_2008_p::RAC_6C, [ADL_03]",cat,NA::a,2,not applicable,not applicable,N/A,6,not applicable,Needs help - doing housework,"Because of any condition or health problem, do you need the help of another person in doing normal everyday housework?",
ADL_03,ADL_03_cat2_NA::b,cat,"cchs2001_p, cchs2003_p, cchs2005_p, cchs2007_2008_p, cchs2009_2010_p, cchs2010_p, cchs2011_2012_p, cchs2012_p, cchs2013_2014_p, cchs2014_p","cchs2001_p::RACA_6C, cchs2003_p::RACC_6C, cchs2005_p::RACE_6C, cchs2007_2008_p::RAC_6C, [ADL_03]",cat,NA::b,2,missing,missing,N/A,"[7,9]",don't know (7); refusal (8); not stated (9),Needs help - doing housework,"Because of any condition or health problem, do you need the help of another person in doing normal everyday housework?",
ADL_03,ADL_03_cat2_NA::b,cat,"cchs2001_p, cchs2003_p, cchs2005_p, cchs2007_2008_p, cchs2009_2010_p, cchs2010_p, cchs2011_2012_p, cchs2012_p, cchs2013_2014_p, cchs2014_p","cchs2001_p::RACA_6C, cchs2003_p::RACC_6C, cchs2005_p::RACE_6C, cchs2007_2008_p::RAC_6C, [ADL_03]",cat,NA::b,2,missing,missing,N/A,else,else,Needs help - doing housework,"Because of any condition or health problem, do you need the help of another person in doing normal everyday housework?",
ADL_03,ADL_03_cat2_1,cat,"cchs2015_2016_p, cchs2017_2018_p","cchs2015_2016_p::ADL_015, cchs2017_2018_p::ADL_015",cat,1,2,Yes,Yes,N/A,"[3,4]",Yes,Needs help - doing housework,"Because of any condition or health problem, do you need the help of another person in doing normal everyday housework?","For 2015 onwards, question is changed from ""Because of condition, do you need the help of another person in X"" to ""Because of condition, do you have any difficulty with X?""; however, the answer categories indicate if they had the help of another person. 'Yes, difficulty, but can do it with the help of others' and 'Cannot do it all' are combined for 'Yes'. 'No, no difficulty' and 'Yes, difficulty, but do not require help of others' are combined for 'No'. In the universe, respondents must said yes to ""Activities of daily living"" before answering this question, therefore the sample size is small."
ADL_03,ADL_03_cat2_2,cat,"cchs2015_2016_p, cchs2017_2018_p","cchs2015_2016_p::ADL_015, cchs2017_2018_p::ADL_015",cat,2,2,No,No,N/A,"[1,2]",No,Needs help - doing housework,"Because of any condition or health problem, do you need the help of another person in doing normal everyday housework?","For 2015 onwards, question is changed from ""Because of condition, do you need the help of another person in X"" to ""Because of condition, do you have any difficulty with X?""; however, the answer categories indicate if they had the help of another person. 'Yes, difficulty, but can do it with the help of others' and 'Cannot do it all' are combined for 'Yes'. 'No, no difficulty' and 'Yes, difficulty, but do not require help of others' are combined for 'No'. In the universe, respondents must said yes to ""Activities of daily living"" before answering this question, therefore the sample size is small."
ADL_03,ADL_03_cat2_NA::a,cat,"cchs2015_2016_p, cchs2017_2018_p","cchs2015_2016_p::ADL_015, cchs2017_2018_p::ADL_015",cat,NA::a,2,not applicable,not applicable,N/A,6,not applicable,Needs help - doing housework,"Because of any condition or health problem, do you need the help of another person in doing normal everyday housework?",
ADL_03,ADL_03_cat2_NA::b,cat,"cchs2015_2016_p, cchs2017_2018_p","cchs2015_2016_p::ADL_015, cchs2017_2018_p::ADL_015",cat,NA::b,2,missing,missing,N/A,"[7,9]",don't know (7); refusal (8); not stated (9),Needs help - doing housework,"Because of any condition or health problem, do you need the help of another person in doing normal everyday housework?",
ADL_03,ADL_03_cat2_NA::b,cat,"cchs2015_2016_p, cchs2017_2018_p","cchs2015_2016_p::ADL_015, cchs2017_2018_p::ADL_015",cat,NA::b,2,missing,missing,N/A,else,else,Needs help - doing housework,"Because of any condition or health problem, do you need the help of another person in doing normal everyday housework?",
ADL_04,ADL_04_cat2_1,cat,"cchs2001_p, cchs2003_p, cchs2005_p, cchs2007_2008_p, cchs2009_2010_p, cchs2010_p, cchs2011_2012_p, cchs2012_p, cchs2013_2014_p, cchs2014_p","cchs2001_p::RACA_6E, cchs2003_p::RACC_6E, cchs2005_p::RACE_6E, cchs2007_2008_p::RAC_6E, [ADL_04]",cat,1,2,Yes,Yes,N/A,1,Yes,Needs help - personal care,"Because of any condition or health problem, do you need the help of another person in personal care such as washing, dressing or eating?",
ADL_04,ADL_04_cat2_2,cat,"cchs2001_p, cchs2003_p, cchs2005_p, cchs2007_2008_p, cchs2009_2010_p, cchs2010_p, cchs2011_2012_p, cchs2012_p, cchs2013_2014_p, cchs2014_p","cchs2001_p::RACA_6E, cchs2003_p::RACC_6E, cchs2005_p::RACE_6E, cchs2007_2008_p::RAC_6E, [ADL_04]",cat,2,2,No,No,N/A,2,No,Needs help - personal care,"Because of any condition or health problem, do you need the help of another person in personal care such as washing, dressing or eating?",
ADL_04,ADL_04_cat2_NA::a,cat,"cchs2001_p, cchs2003_p, cchs2005_p, cchs2007_2008_p, cchs2009_2010_p, cchs2010_p, cchs2011_2012_p, cchs2012_p, cchs2013_2014_p, cchs2014_p","cchs2001_p::RACA_6E, cchs2003_p::RACC_6E, cchs2005_p::RACE_6E, cchs2007_2008_p::RAC_6E, [ADL_04]",cat,NA::a,2,not applicable,not applicable,N/A,6,not applicable,Needs help - personal care,"Because of any condition or health problem, do you need the help of another person in personal care such as washing, dressing or eating?",
ADL_04,ADL_04_cat2_NA::b,cat,"cchs2001_p, cchs2003_p, cchs2005_p, cchs2007_2008_p, cchs2009_2010_p, cchs2010_p, cchs2011_2012_p, cchs2012_p, cchs2013_2014_p, cchs2014_p","cchs2001_p::RACA_6E, cchs2003_p::RACC_6E, cchs2005_p::RACE_6E, cchs2007_2008_p::RAC_6E, [ADL_04]",cat,NA::b,2,missing,missing,N/A,"[7,9]",don't know (7); refusal (8); not stated (9),Needs help - personal care,"Because of any condition or health problem, do you need the help of another person in personal care such as washing, dressing or eating?",
ADL_04,ADL_04_cat2_NA::b,cat,"cchs2001_p, cchs2003_p, cchs2005_p, cchs2007_2008_p, cchs2009_2010_p, cchs2010_p, cchs2011_2012_p, cchs2012_p, cchs2013_2014_p, cchs2014_p","cchs2001_p::RACA_6E, cchs2003_p::RACC_6E, cchs2005_p::RACE_6E, cchs2007_2008_p::RAC_6E, [ADL_04]",cat,NA::b,2,missing,missing,N/A,else,else,Needs help - personal care,"Because of any condition or health problem, do you need the help of another person in personal care such as washing, dressing or eating?",
ADL_04,ADL_04_cat2_1,cat,"cchs2015_2016_p, cchs2017_2018_p","cchs2015_2016_p::ADL_020, cchs2017_2018_p::ADL_020",cat,1,2,Yes,Yes,N/A,"[3,4]",Yes,Needs help - personal care,"Because of any condition or health problem, do you need the help of another person in personal care such as washing, dressing or eating?","For 2015 onwards, question is changed from ""Because of condition, do you need the help of another person in X"" to ""Because of condition, do you have any difficulty with X?""; however, the answer categories indicate if they had the help of another person. 'Yes, difficulty, but can do it with the help of others' and 'Cannot do it all' are combined for 'Yes'. 'No, no difficulty' and 'Yes, difficulty, but do not require help of others' are combined for 'No'. In the universe, respondents must said yes to ""Activities of daily living"" before answering this question, therefore the sample size is small."
ADL_04,ADL_04_cat2_2,cat,"cchs2015_2016_p, cchs2017_2018_p","cchs2015_2016_p::ADL_020, cchs2017_2018_p::ADL_020",cat,2,2,No,No,N/A,"[1,2]",No,Needs help - personal care,"Because of any condition or health problem, do you need the help of another person in personal care such as washing, dressing or eating?","For 2015 onwards, question is changed from ""Because of condition, do you need the help of another person in X"" to ""Because of condition, do you have any difficulty with X?""; however, the answer categories indicate if they had the help of another person. 'Yes, difficulty, but can do it with the help of others' and 'Cannot do it all' are combined for 'Yes'. 'No, no difficulty' and 'Yes, difficulty, but do not require help of others' are combined for 'No'. In the universe, respondents must said yes to ""Activities of daily living"" before answering this question, therefore the sample size is small."
ADL_04,ADL_04_cat2_NA::a,cat,"cchs2015_2016_p, cchs2017_2018_p","cchs2015_2016_p::ADL_020, cchs2017_2018_p::ADL_020",cat,NA::a,2,not applicable,not applicable,N/A,6,not applicable,Needs help - personal care,"Because of any condition or health problem, do you need the help of another person in personal care such as washing, dressing or eating?",
ADL_04,ADL_04_cat2_NA::b,cat,"cchs2015_2016_p, cchs2017_2018_p","cchs2015_2016_p::ADL_020, cchs2017_2018_p::ADL_020",cat,NA::b,2,missing,missing,N/A,"[7,9]",don't know (7); refusal (8); not stated (9),Needs help - personal care,"Because of any condition or health problem, do you need the help of another person in personal care such as washing, dressing or eating?",
ADL_04,ADL_04_cat2_NA::b,cat,"cchs2015_2016_p, cchs2017_2018_p","cchs2015_2016_p::ADL_020, cchs2017_2018_p::ADL_020",cat,NA::b,2,missing,missing,N/A,else,else,Needs help - personal care,"Because of any condition or health problem, do you need the help of another person in personal care such as washing, dressing or eating?",
ADL_05,ADL_05_cat2_1,cat,"cchs2001_p, cchs2003_p, cchs2005_p, cchs2007_2008_p, cchs2009_2010_p, cchs2010_p, cchs2011_2012_p, cchs2012_p, cchs2013_2014_p, cchs2014_p","cchs2001_p::RACA_6F, cchs2003_p::RACC_6F, cchs2005_p::RACE_6F, cchs2007_2008_p::RAC_6F, [ADL_05]",cat,1,2,Yes,Yes,N/A,1,Yes,Needs help - moving about inside house,"Because of any condition or health problem, do you need the help of another person in moving about inside the house?",
ADL_05,ADL_05_cat2_2,cat,"cchs2001_p, cchs2003_p, cchs2005_p, cchs2007_2008_p, cchs2009_2010_p, cchs2010_p, cchs2011_2012_p, cchs2012_p, cchs2013_2014_p, cchs2014_p","cchs2001_p::RACA_6F, cchs2003_p::RACC_6F, cchs2005_p::RACE_6F, cchs2007_2008_p::RAC_6F, [ADL_05]",cat,2,2,No,No,N/A,2,No,Needs help - moving about inside house,"Because of any condition or health problem, do you need the help of another person in moving about inside the house?",
ADL_05,ADL_05_cat2_NA::a,cat,"cchs2001_p, cchs2003_p, cchs2005_p, cchs2007_2008_p, cchs2009_2010_p, cchs2010_p, cchs2011_2012_p, cchs2012_p, cchs2013_2014_p, cchs2014_p","cchs2001_p::RACA_6F, cchs2003_p::RACC_6F, cchs2005_p::RACE_6F, cchs2007_2008_p::RAC_6F, [ADL_05]",cat,NA::a,2,not applicable,not applicable,N/A,6,not applicable,Needs help - moving about inside house,"Because of any condition or health problem, do you need the help of another person in moving about inside the house?",
ADL_05,ADL_05_cat2_NA::b,cat,"cchs2001_p, cchs2003_p, cchs2005_p, cchs2007_2008_p, cchs2009_2010_p, cchs2010_p, cchs2011_2012_p, cchs2012_p, cchs2013_2014_p, cchs2014_p","cchs2001_p::RACA_6F, cchs2003_p::RACC_6F, cchs2005_p::RACE_6F, cchs2007_2008_p::RAC_6F, [ADL_05]",cat,NA::b,2,missing,missing,N/A,"[7,9]",don't know (7); refusal (8); not stated (9),Needs help - moving about inside house,"Because of any condition or health problem, do you need the help of another person in moving about inside the house?",
ADL_05,ADL_05_cat2_NA::b,cat,"cchs2001_p, cchs2003_p, cchs2005_p, cchs2007_2008_p, cchs2009_2010_p, cchs2010_p, cchs2011_2012_p, cchs2012_p, cchs2013_2014_p, cchs2014_p","cchs2001_p::RACA_6F, cchs2003_p::RACC_6F, cchs2005_p::RACE_6F, cchs2007_2008_p::RAC_6F, [ADL_05]",cat,NA::b,2,missing,missing,N/A,else,else,Needs help - moving about inside house,"Because of any condition or health problem, do you need the help of another person in moving about inside the house?",
ADL_05,ADL_05_cat2_1,cat,"cchs2015_2016_p, cchs2017_2018_p","cchs2015_2016_p::ADL_025, cchs2017_2018_p::ADL_025",cat,1,2,Yes,Yes,N/A,"[3,4]",Yes,Needs help - moving about inside house,"Because of any condition or health problem, do you need the help of another person in moving about inside the house?","For 2015 onwards, question is changed from ""Because of condition, do you need the help of another person in X"" to ""Because of condition, do you have any difficulty with X?""; however, the answer categories indicate if they had the help of another person. 'Yes, difficulty, but can do it with the help of others' and 'Cannot do it all' are combined for 'Yes'. 'No, no difficulty' and 'Yes, difficulty, but do not require help of others' are combined for 'No'. In the universe, respondents must said yes to ""Activities of daily living"" before answering this question, therefore the sample size is small."
ADL_05,ADL_05_cat2_2,cat,"cchs2015_2016_p, cchs2017_2018_p","cchs2015_2016_p::ADL_025, cchs2017_2018_p::ADL_025",cat,2,2,No,No,N/A,"[1,2]",No,Needs help - moving about inside house,"Because of any condition or health problem, do you need the help of another person in moving about inside the house?","For 2015 onwards, question is changed from ""Because of condition, do you need the help of another person in X"" to ""Because of condition, do you have any difficulty with X?""; however, the answer categories indicate if they had the help of another person. 'Yes, difficulty, but can do it with the help of others' and 'Cannot do it all' are combined for 'Yes'. 'No, no difficulty' and 'Yes, difficulty, but do not require help of others' are combined for 'No'. In the universe, respondents must said yes to ""Activities of daily living"" before answering this question, therefore the sample size is small."
ADL_05,ADL_05_cat2_NA::a,cat,"cchs2015_2016_p, cchs2017_2018_p","cchs2015_2016_p::ADL_025, cchs2017_2018_p::ADL_025",cat,NA::a,2,not applicable,not applicable,N/A,6,not applicable,Needs help - moving about inside house,"Because of any condition or health problem, do you need the help of another person in moving about inside the house?",
ADL_05,ADL_05_cat2_NA::b,cat,"cchs2015_2016_p, cchs2017_2018_p","cchs2015_2016_p::ADL_025, cchs2017_2018_p::ADL_025",cat,NA::b,2,missing,missing,N/A,"[7,9]",don't know (7); refusal (8); not stated (9),Needs help - moving about inside house,"Because of any condition or health problem, do you need the help of another person in moving about inside the house?",
ADL_05,ADL_05_cat2_NA::b,cat,"cchs2015_2016_p, cchs2017_2018_p","cchs2015_2016_p::ADL_025, cchs2017_2018_p::ADL_025",cat,NA::b,2,missing,missing,N/A,else,else,Needs help - moving about inside house,"Because of any condition or health problem, do you need the help of another person in moving about inside the house?",
ADL_06,ADL_06_cat2_1,cat,"cchs2003_p, cchs2005_p, cchs2007_2008_p, cchs2009_2010_p, cchs2010_p, cchs2011_2012_p, cchs2012_p, cchs2013_2014_p, cchs2014_p","cchs2003_p::RACC_6G, cchs2005_p::RACE_6G, cchs2007_2008_p::RAC_6G, [ADL_06]",cat,1,2,Yes,Yes,N/A,1,Yes,Needs help - looking after finances,"Because of any physical condition or mental condition or health problem, do you need the help of another person with looking after your personal finances such as making bank transactions or paying bills?",
ADL_06,ADL_06_cat2_2,cat,"cchs2003_p, cchs2005_p, cchs2007_2008_p, cchs2009_2010_p, cchs2010_p, cchs2011_2012_p, cchs2012_p, cchs2013_2014_p, cchs2014_p","cchs2003_p::RACC_6G, cchs2005_p::RACE_6G, cchs2007_2008_p::RAC_6G, [ADL_06]",cat,2,2,No,No,N/A,2,No,Needs help - looking after finances,"Because of any physical condition or mental condition or health problem, do you need the help of another person with looking after your personal finances such as making bank transactions or paying bills?",
ADL_06,ADL_06_cat2_NA::a,cat,"cchs2003_p, cchs2005_p, cchs2007_2008_p, cchs2009_2010_p, cchs2010_p, cchs2011_2012_p, cchs2012_p, cchs2013_2014_p, cchs2014_p","cchs2003_p::RACC_6G, cchs2005_p::RACE_6G, cchs2007_2008_p::RAC_6G, [ADL_06]",cat,NA::a,2,not applicable,not applicable,N/A,6,not applicable,Needs help - looking after finances,"Because of any physical condition or mental condition or health problem, do you need the help of another person with looking after your personal finances such as making bank transactions or paying bills?",
ADL_06,ADL_06_cat2_NA::b,cat,"cchs2003_p, cchs2005_p, cchs2007_2008_p, cchs2009_2010_p, cchs2010_p, cchs2011_2012_p, cchs2012_p, cchs2013_2014_p, cchs2014_p","cchs2003_p::RACC_6G, cchs2005_p::RACE_6G, cchs2007_2008_p::RAC_6G, [ADL_06]",cat,NA::b,2,missing,missing,N/A,"[7,9]",don't know (7); refusal (8); not stated (9),Needs help - looking after finances,"Because of any physical condition or mental condition or health problem, do you need the help of another person with looking after your personal finances such as making bank transactions or paying bills?",
ADL_06,ADL_06_cat2_NA::b,cat,"cchs2003_p, cchs2005_p, cchs2007_2008_p, cchs2009_2010_p, cchs2010_p, cchs2011_2012_p, cchs2012_p, cchs2013_2014_p, cchs2014_p","cchs2003_p::RACC_6G, cchs2005_p::RACE_6G, cchs2007_2008_p::RAC_6G, [ADL_06]",cat,NA::b,2,missing,missing,N/A,else,else,Needs help - looking after finances,"Because of any physical condition or mental condition or health problem, do you need the help of another person with looking after your personal finances such as making bank transactions or paying bills?",
